year,month,period,district_cn,district_en,headcount,hour,zone
2026,7,05:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,3901,5,Taipa & Cotai
2026,7,05:00,路環區,Coloane,1598,5,Coloane
2026,7,05:00,北安及大潭山區,Pac On & Taipa Grande,2743,5,Taipa & Cotai
2026,7,05:00,青洲區,Ilha Verde,303,5,Macau Peninsula
2026,7,05:00,南西灣及主教山區,Praia Grande & Penha,1241,5,Macau Peninsula
2026,7,05:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,386,5,Taipa & Cotai
2026,7,05:00,東望洋區(松山區),Ferreira do Amaral (Guia),404,5,Macau Peninsula
2026,7,05:00,大學及北安灣區,Universidade & Baía de Pac On,281,5,Taipa & Cotai
2026,7,06:00,新橋區,Barca,1150,6,Macau Peninsula
2026,7,06:00,中區,Baixa de Macau,5099,6,Macau Peninsula
2026,7,06:00,氹仔中心區,Baixa da Taipa,4284,6,Taipa & Cotai
2026,7,06:00,台山區,Tamagnini Barbosa,1519,6,Macau Peninsula
2026,7,06:00,黑沙環新填海區,Novos Aterros da Areia Preta,1350,6,Macau Peninsula
2026,7,06:00,望廈及水塘區,Móng Há & Reservatório,833,6,Macau Peninsula
2026,7,06:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,9489,6,Macau Peninsula
2026,7,06:00,路氹填海區,COTAI Reclamation Area,60108,6,Taipa & Cotai
2026,7,06:00,黑沙環及祐漢區,Areia Preta & Iao Hon,1666,6,Macau Peninsula
2026,7,06:00,下環區,Barra/Manduco,2532,6,Macau Peninsula
2026,7,06:00,荷蘭園區,Conselheiro Ferreira de Almeida,839,6,Macau Peninsula
2026,7,06:00,林茂塘區,Doca do Lamau,514,6,Macau Peninsula
2026,7,06:00,沙梨頭及大三巴區,Patane & São Paulo,2770,6,Macau Peninsula
2026,7,06:00,新口岸區,Zona de Aterros do Porto Exterior,13800,6,Macau Peninsula
2026,7,06:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,679,6,Macau Peninsula
2026,7,06:00,筷子基區,Fai Chi Kei,464,6,Macau Peninsula
2026,7,06:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,3857,6,Taipa & Cotai
2026,7,06:00,路環區,Coloane,1617,6,Coloane
2026,7,06:00,北安及大潭山區,Pac On & Taipa Grande,2782,6,Taipa & Cotai
2026,7,06:00,青洲區,Ilha Verde,301,6,Macau Peninsula
2026,7,06:00,南西灣及主教山區,Praia Grande & Penha,1234,6,Macau Peninsula
2026,7,06:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,379,6,Taipa & Cotai
2026,7,06:00,東望洋區(松山區),Ferreira do Amaral (Guia),413,6,Macau Peninsula
2026,7,06:00,大學及北安灣區,Universidade & Baía de Pac On,285,6,Taipa & Cotai
2026,7,07:00,新橋區,Barca,1169,7,Macau Peninsula
2026,7,07:00,中區,Baixa de Macau,5102,7,Macau Peninsula
2026,7,07:00,氹仔中心區,Baixa da Taipa,4310,7,Taipa & Cotai
2026,7,07:00,台山區,Tamagnini Barbosa,1678,7,Macau Peninsula
2026,7,07:00,黑沙環新填海區,Novos Aterros da Areia Preta,1379,7,Macau Peninsula
2026,7,07:00,望廈及水塘區,Móng Há & Reservatório,846,7,Macau Peninsula
2026,7,07:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,9366,7,Macau Peninsula
2026,7,07:00,路氹填海區,COTAI Reclamation Area,59949,7,Taipa & Cotai
2026,7,07:00,黑沙環及祐漢區,Areia Preta & Iao Hon,2072,7,Macau Peninsula
2026,7,07:00,下環區,Barra/Manduco,2565,7,Macau Peninsula
2026,7,07:00,荷蘭園區,Conselheiro Ferreira de Almeida,848,7,Macau Peninsula
2026,7,07:00,林茂塘區,Doca do Lamau,527,7,Macau Peninsula
2026,7,07:00,沙梨頭及大三巴區,Patane & São Paulo,2720,7,Macau Peninsula
2026,7,07:00,新口岸區,Zona de Aterros do Porto Exterior,13989,7,Macau Peninsula
2026,7,07:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,685,7,Macau Peninsula
2026,7,07:00,筷子基區,Fai Chi Kei,474,7,Macau Peninsula
2026,7,07:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,3895,7,Taipa & Cotai
2026,7,07:00,路環區,Coloane,1664,7,Coloane
2026,7,07:00,北安及大潭山區,Pac On & Taipa Grande,2819,7,Taipa & Cotai
2026,7,07:00,青洲區,Ilha Verde,312,7,Macau Peninsula
2026,7,07:00,南西灣及主教山區,Praia Grande & Penha,1228,7,Macau Peninsula
2026,7,07:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,403,7,Taipa & Cotai
2026,7,07:00,東望洋區(松山區),Ferreira do Amaral (Guia),407,7,Macau Peninsula
2026,7,07:00,大學及北安灣區,Universidade & Baía de Pac On,285,7,Taipa & Cotai
2026,7,08:00,新橋區,Barca,1190,8,Macau Peninsula
2026,7,08:00,中區,Baixa de Macau,5162,8,Macau Peninsula
2026,7,08:00,氹仔中心區,Baixa da Taipa,4354,8,Taipa & Cotai
2026,7,08:00,台山區,Tamagnini Barbosa,1909,8,Macau Peninsula
2026,7,08:00,黑沙環新填海區,Novos Aterros da Areia Preta,1475,8,Macau Peninsula
2026,7,08:00,望廈及水塘區,Móng Há & Reservatório,899,8,Macau Peninsula
2026,7,08:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,9437,8,Macau Peninsula
2026,7,08:00,路氹填海區,COTAI Reclamation Area,60010,8,Taipa & Cotai
2026,7,08:00,黑沙環及祐漢區,Areia Preta & Iao Hon,2578,8,Macau Peninsula
2026,7,08:00,下環區,Barra/Manduco,2609,8,Macau Peninsula
2026,7,08:00,荷蘭園區,Conselheiro Ferreira de Almeida,882,8,Macau Peninsula
2026,7,08:00,林茂塘區,Doca do Lamau,546,8,Macau Peninsula
2026,7,08:00,沙梨頭及大三巴區,Patane & São Paulo,2762,8,Macau Peninsula
2026,7,08:00,新口岸區,Zona de Aterros do Porto Exterior,14161,8,Macau Peninsula
2026,7,08:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,691,8,Macau Peninsula
2026,7,08:00,筷子基區,Fai Chi Kei,500,8,Macau Peninsula
2026,7,08:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,3998,8,Taipa & Cotai
2026,7,08:00,路環區,Coloane,1740,8,Coloane
2026,7,08:00,北安及大潭山區,Pac On & Taipa Grande,2878,8,Taipa & Cotai
2026,7,08:00,青洲區,Ilha Verde,358,8,Macau Peninsula
2026,7,08:00,南西灣及主教山區,Praia Grande & Penha,1242,8,Macau Peninsula
2026,7,08:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,437,8,Taipa & Cotai
2026,7,08:00,東望洋區(松山區),Ferreira do Amaral (Guia),438,8,Macau Peninsula
2026,7,08:00,大學及北安灣區,Universidade & Baía de Pac On,292,8,Taipa & Cotai
2026,7,09:00,新橋區,Barca,1205,9,Macau Peninsula
2026,7,09:00,中區,Baixa de Macau,5440,9,Macau Peninsula
2026,7,09:00,氹仔中心區,Baixa da Taipa,4427,9,Taipa & Cotai
2026,7,09:00,台山區,Tamagnini Barbosa,2334,9,Macau Peninsula
2026,7,09:00,黑沙環新填海區,Novos Aterros da Areia Preta,1605,9,Macau Peninsula
2026,7,09:00,望廈及水塘區,Móng Há & Reservatório,1023,9,Macau Peninsula
2026,7,09:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,9764,9,Macau Peninsula
2026,7,09:00,路氹填海區,COTAI Reclamation Area,60698,9,Taipa & Cotai
2026,7,09:00,黑沙環及祐漢區,Areia Preta & Iao Hon,3539,9,Macau Peninsula
2026,7,09:00,下環區,Barra/Manduco,2623,9,Macau Peninsula
2026,7,09:00,荷蘭園區,Conselheiro Ferreira de Almeida,922,9,Macau Peninsula
2026,7,09:00,林茂塘區,Doca do Lamau,568,9,Macau Peninsula
2026,7,09:00,沙梨頭及大三巴區,Patane & São Paulo,2858,9,Macau Peninsula
2026,7,09:00,新口岸區,Zona de Aterros do Porto Exterior,14351,9,Macau Peninsula
2026,7,09:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,721,9,Macau Peninsula
2026,7,09:00,筷子基區,Fai Chi Kei,597,9,Macau Peninsula
2026,7,09:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,4214,9,Taipa & Cotai
2026,7,09:00,路環區,Coloane,1912,9,Coloane
2026,7,09:00,北安及大潭山區,Pac On & Taipa Grande,3291,9,Taipa & Cotai
2026,7,09:00,青洲區,Ilha Verde,446,9,Macau Peninsula
2026,7,09:00,南西灣及主教山區,Praia Grande & Penha,1256,9,Macau Peninsula
