year,month,hour,period,district_cn,district_en,zone,headcount,month_total_arrivals,daily_bus_departures,departures_share_pct,supply_demand_ratio
2026,7,4,04:00,林茂塘區,Doca do Lamau,Macau Peninsula,511,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,沙梨頭及大三巴區,Patane & São Paulo,Macau Peninsula,2704,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,新口岸區,Zona de Aterros do Porto Exterior,Macau Peninsula,13563,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,Macau Peninsula,662,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,筷子基區,Fai Chi Kei,Macau Peninsula,459,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,Taipa & Cotai,3964,3542218.0,66570.0,28.42,0.507
2026,7,4,04:00,路環區,Coloane,Coloane,1606,3542218.0,11693.0,4.99,2.988
2026,7,4,04:00,北安及大潭山區,Pac On & Taipa Grande,Taipa & Cotai,2785,3542218.0,66570.0,28.42,0.507
2026,7,4,04:00,青洲區,Ilha Verde,Macau Peninsula,301,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,南西灣及主教山區,Praia Grande & Penha,Macau Peninsula,1244,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,Taipa & Cotai,401,3542218.0,66570.0,28.42,0.507
2026,7,4,04:00,東望洋區(松山區),Ferreira do Amaral (Guia),Macau Peninsula,399,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,大學及北安灣區,Universidade & Baía de Pac On,Taipa & Cotai,276,3542218.0,66570.0,28.42,0.507
2026,7,5,05:00,新橋區,Barca,Macau Peninsula,1144,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,中區,Baixa de Macau,Macau Peninsula,5231,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,氹仔中心區,Baixa da Taipa,Taipa & Cotai,4296,3542218.0,66570.0,28.42,0.507
2026,7,5,05:00,台山區,Tamagnini Barbosa,Macau Peninsula,1483,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,黑沙環新填海區,Novos Aterros da Areia Preta,Macau Peninsula,1362,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,望廈及水塘區,Móng Há & Reservatório,Macau Peninsula,829,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,Macau Peninsula,9750,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,路氹填海區,COTAI Reclamation Area,Taipa & Cotai,60450,3542218.0,66570.0,28.42,0.507
2026,7,5,05:00,黑沙環及祐漢區,Areia Preta & Iao Hon,Macau Peninsula,1655,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,下環區,Barra/Manduco,Macau Peninsula,2530,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,荷蘭園區,Conselheiro Ferreira de Almeida,Macau Peninsula,836,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,林茂塘區,Doca do Lamau,Macau Peninsula,518,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,沙梨頭及大三巴區,Patane & São Paulo,Macau Peninsula,2729,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,新口岸區,Zona de Aterros do Porto Exterior,Macau Peninsula,13688,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,Macau Peninsula,672,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,筷子基區,Fai Chi Kei,Macau Peninsula,455,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,Taipa & Cotai,3901,3542218.0,66570.0,28.42,0.507
2026,7,5,05:00,路環區,Coloane,Coloane,1598,3542218.0,11693.0,4.99,2.988
2026,7,5,05:00,北安及大潭山區,Pac On & Taipa Grande,Taipa & Cotai,2743,3542218.0,66570.0,28.42,0.507
2026,7,5,05:00,青洲區,Ilha Verde,Macau Peninsula,303,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,南西灣及主教山區,Praia Grande & Penha,Macau Peninsula,1241,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,Taipa & Cotai,386,3542218.0,66570.0,28.42,0.507
2026,7,5,05:00,東望洋區(松山區),Ferreira do Amaral (Guia),Macau Peninsula,404,3542218.0,155940.0,66.58,1.577
2026,7,5,05:00,大學及北安灣區,Universidade & Baía de Pac On,Taipa & Cotai,281,3542218.0,66570.0,28.42,0.507
2026,7,6,06:00,新橋區,Barca,Macau Peninsula,1150,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,中區,Baixa de Macau,Macau Peninsula,5099,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,氹仔中心區,Baixa da Taipa,Taipa & Cotai,4284,3542218.0,66570.0,28.42,0.507
2026,7,6,06:00,台山區,Tamagnini Barbosa,Macau Peninsula,1519,3542218.0,155940.0,66.58,1.577
