year,month,period,district_cn,district_en,headcount,hour,zone
2023,12,07:00,大學及北安灣區,Universidade & Baía de Pac On,204,7,Taipa & Cotai
2023,12,08:00,新橋區,Barca,1022,8,Macau Peninsula
2023,12,08:00,中區,Baixa de Macau,4961,8,Macau Peninsula
2023,12,08:00,氹仔中心區,Baixa da Taipa,3118,8,Taipa & Cotai
2023,12,08:00,台山區,Tamagnini Barbosa,1356,8,Macau Peninsula
2023,12,08:00,黑沙環新填海區,Novos Aterros da Areia Preta,1258,8,Macau Peninsula
2023,12,08:00,望廈及水塘區,Móng Há & Reservatório,671,8,Macau Peninsula
2023,12,08:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,6201,8,Macau Peninsula
2023,12,08:00,路氹填海區,COTAI Reclamation Area,51005,8,Taipa & Cotai
2023,12,08:00,黑沙環及祐漢區,Areia Preta & Iao Hon,1480,8,Macau Peninsula
2023,12,08:00,下環區,Barra/Manduco,2432,8,Macau Peninsula
2023,12,08:00,荷蘭園區,Conselheiro Ferreira de Almeida,760,8,Macau Peninsula
2023,12,08:00,林茂塘區,Doca do Lamau,467,8,Macau Peninsula
2023,12,08:00,沙梨頭及大三巴區,Patane & São Paulo,2393,8,Macau Peninsula
2023,12,08:00,新口岸區,Zona de Aterros do Porto Exterior,10790,8,Macau Peninsula
2023,12,08:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,545,8,Macau Peninsula
2023,12,08:00,筷子基區,Fai Chi Kei,461,8,Macau Peninsula
2023,12,08:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,2306,8,Taipa & Cotai
2023,12,08:00,路環區,Coloane,965,8,Coloane
2023,12,08:00,北安及大潭山區,Pac On & Taipa Grande,2324,8,Taipa & Cotai
2023,12,08:00,青洲區,Ilha Verde,257,8,Macau Peninsula
2023,12,08:00,南西灣及主教山區,Praia Grande & Penha,707,8,Macau Peninsula
2023,12,08:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,287,8,Taipa & Cotai
2023,12,08:00,東望洋區(松山區),Ferreira do Amaral (Guia),273,8,Macau Peninsula
2023,12,08:00,大學及北安灣區,Universidade & Baía de Pac On,211,8,Taipa & Cotai
2023,12,09:00,新橋區,Barca,1043,9,Macau Peninsula
2023,12,09:00,中區,Baixa de Macau,5080,9,Macau Peninsula
2023,12,09:00,氹仔中心區,Baixa da Taipa,3065,9,Taipa & Cotai
2023,12,09:00,台山區,Tamagnini Barbosa,1662,9,Macau Peninsula
2023,12,09:00,黑沙環新填海區,Novos Aterros da Areia Preta,1425,9,Macau Peninsula
2023,12,09:00,望廈及水塘區,Móng Há & Reservatório,911,9,Macau Peninsula
2023,12,09:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,6303,9,Macau Peninsula
2023,12,09:00,路氹填海區,COTAI Reclamation Area,51160,9,Taipa & Cotai
2023,12,09:00,黑沙環及祐漢區,Areia Preta & Iao Hon,2057,9,Macau Peninsula
2023,12,09:00,下環區,Barra/Manduco,2445,9,Macau Peninsula
2023,12,09:00,荷蘭園區,Conselheiro Ferreira de Almeida,967,9,Macau Peninsula
2023,12,09:00,林茂塘區,Doca do Lamau,493,9,Macau Peninsula
2023,12,09:00,沙梨頭及大三巴區,Patane & São Paulo,2541,9,Macau Peninsula
2023,12,09:00,新口岸區,Zona de Aterros do Porto Exterior,10904,9,Macau Peninsula
2023,12,09:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,550,9,Macau Peninsula
2023,12,09:00,筷子基區,Fai Chi Kei,628,9,Macau Peninsula
2023,12,09:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,2360,9,Taipa & Cotai
2023,12,09:00,路環區,Coloane,1099,9,Coloane
2023,12,09:00,北安及大潭山區,Pac On & Taipa Grande,2326,9,Taipa & Cotai
2023,12,09:00,青洲區,Ilha Verde,397,9,Macau Peninsula
2023,12,09:00,南西灣及主教山區,Praia Grande & Penha,718,9,Macau Peninsula
2023,12,09:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,303,9,Taipa & Cotai
2023,12,09:00,東望洋區(松山區),Ferreira do Amaral (Guia),333,9,Macau Peninsula
2023,12,09:00,大學及北安灣區,Universidade & Baía de Pac On,212,9,Taipa & Cotai
2023,12,10:00,新橋區,Barca,1216,10,Macau Peninsula
2023,12,10:00,中區,Baixa de Macau,5540,10,Macau Peninsula
2023,12,10:00,氹仔中心區,Baixa da Taipa,3054,10,Taipa & Cotai
2023,12,10:00,台山區,Tamagnini Barbosa,2120,10,Macau Peninsula
2023,12,10:00,黑沙環新填海區,Novos Aterros da Areia Preta,1907,10,Macau Peninsula
2023,12,10:00,望廈及水塘區,Móng Há & Reservatório,1325,10,Macau Peninsula
2023,12,10:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,6627,10,Macau Peninsula
2023,12,10:00,路氹填海區,COTAI Reclamation Area,50961,10,Taipa & Cotai
2023,12,10:00,黑沙環及祐漢區,Areia Preta & Iao Hon,3432,10,Macau Peninsula
2023,12,10:00,下環區,Barra/Manduco,2472,10,Macau Peninsula
2023,12,10:00,荷蘭園區,Conselheiro Ferreira de Almeida,1348,10,Macau Peninsula
2023,12,10:00,林茂塘區,Doca do Lamau,538,10,Macau Peninsula
2023,12,10:00,沙梨頭及大三巴區,Patane & São Paulo,3125,10,Macau Peninsula
2023,12,10:00,新口岸區,Zona de Aterros do Porto Exterior,11067,10,Macau Peninsula
2023,12,10:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,566,10,Macau Peninsula
2023,12,10:00,筷子基區,Fai Chi Kei,474,10,Macau Peninsula
2023,12,10:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,2547,10,Taipa & Cotai
2023,12,10:00,路環區,Coloane,1392,10,Coloane
2023,12,10:00,北安及大潭山區,Pac On & Taipa Grande,2965,10,Taipa & Cotai
2023,12,10:00,青洲區,Ilha Verde,447,10,Macau Peninsula
2023,12,10:00,南西灣及主教山區,Praia Grande & Penha,754,10,Macau Peninsula
2023,12,10:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,356,10,Taipa & Cotai
2023,12,10:00,東望洋區(松山區),Ferreira do Amaral (Guia),367,10,Macau Peninsula
2023,12,10:00,大學及北安灣區,Universidade & Baía de Pac On,240,10,Taipa & Cotai
2023,12,11:00,新橋區,Barca,1355,11,Macau Peninsula
2023,12,11:00,中區,Baixa de Macau,7240,11,Macau Peninsula
2023,12,11:00,氹仔中心區,Baixa da Taipa,3072,11,Taipa & Cotai
2023,12,11:00,台山區,Tamagnini Barbosa,2857,11,Macau Peninsula
2023,12,11:00,黑沙環新填海區,Novos Aterros da Areia Preta,2568,11,Macau Peninsula
2023,12,11:00,望廈及水塘區,Móng Há & Reservatório,1647,11,Macau Peninsula
2023,12,11:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,7512,11,Macau Peninsula
2023,12,11:00,路氹填海區,COTAI Reclamation Area,50740,11,Taipa & Cotai
2023,12,11:00,黑沙環及祐漢區,Areia Preta & Iao Hon,4944,11,Macau Peninsula
2023,12,11:00,下環區,Barra/Manduco,2603,11,Macau Peninsula
2023,12,11:00,荷蘭園區,Conselheiro Ferreira de Almeida,1453,11,Macau Peninsula
2023,12,11:00,林茂塘區,Doca do Lamau,625,11,Macau Peninsula
2023,12,11:00,沙梨頭及大三巴區,Patane & São Paulo,3838,11,Macau Peninsula
2023,12,11:00,新口岸區,Zona de Aterros do Porto Exterior,11371,11,Macau Peninsula
2023,12,11:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,586,11,Macau Peninsula
2023,12,11:00,筷子基區,Fai Chi Kei,471,11,Macau Peninsula
2023,12,11:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,2979,11,Taipa & Cotai
2023,12,11:00,路環區,Coloane,1703,11,Coloane
2023,12,11:00,北安及大潭山區,Pac On & Taipa Grande,4182,11,Taipa & Cotai
2023,12,11:00,青洲區,Ilha Verde,594,11,Macau Peninsula
2023,12,11:00,南西灣及主教山區,Praia Grande & Penha,829,11,Macau Peninsula
2023,12,11:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,459,11,Taipa & Cotai
2023,12,11:00,東望洋區(松山區),Ferreira do Amaral (Guia),371,11,Macau Peninsula
2023,12,11:00,大學及北安灣區,Universidade & Baía de Pac On,265,11,Taipa & Cotai
2023,12,12:00,新橋區,Barca,1603,12,Macau Peninsula
2023,12,12:00,中區,Baixa de Macau,9872,12,Macau Peninsula
2023,12,12:00,氹仔中心區,Baixa da Taipa,3086,12,Taipa & Cotai
2023,12,12:00,台山區,Tamagnini Barbosa,3243,12,Macau Peninsula
2023,12,12:00,黑沙環新填海區,Novos Aterros da Areia Preta,3196,12,Macau Peninsula
2023,12,12:00,望廈及水塘區,Móng Há & Reservatório,2032,12,Macau Peninsula
2023,12,12:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,8773,12,Macau Peninsula
2023,12,12:00,路氹填海區,COTAI Reclamation Area,50734,12,Taipa & Cotai
2023,12,12:00,黑沙環及祐漢區,Areia Preta & Iao Hon,5259,12,Macau Peninsula
2023,12,12:00,下環區,Barra/Manduco,2885,12,Macau Peninsula
2023,12,12:00,荷蘭園區,Conselheiro Ferreira de Almeida,1366,12,Macau Peninsula
2023,12,12:00,林茂塘區,Doca do Lamau,767,12,Macau Peninsula
2023,12,12:00,沙梨頭及大三巴區,Patane & São Paulo,5124,12,Macau Peninsula
2023,12,12:00,新口岸區,Zona de Aterros do Porto Exterior,11368,12,Macau Peninsula
2023,12,12:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,655,12,Macau Peninsula
2023,12,12:00,筷子基區,Fai Chi Kei,623,12,Macau Peninsula
2023,12,12:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,3738,12,Taipa & Cotai
2023,12,12:00,路環區,Coloane,2023,12,Coloane
2023,12,12:00,北安及大潭山區,Pac On & Taipa Grande,5668,12,Taipa & Cotai
2023,12,12:00,青洲區,Ilha Verde,685,12,Macau Peninsula
2023,12,12:00,南西灣及主教山區,Praia Grande & Penha,894,12,Macau Peninsula
2023,12,12:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,564,12,Taipa & Cotai
2023,12,12:00,東望洋區(松山區),Ferreira do Amaral (Guia),400,12,Macau Peninsula
2023,12,12:00,大學及北安灣區,Universidade & Baía de Pac On,282,12,Taipa & Cotai
2023,12,13:00,新橋區,Barca,1852,13,Macau Peninsula
2023,12,13:00,中區,Baixa de Macau,12763,13,Macau Peninsula
2023,12,13:00,氹仔中心區,Baixa da Taipa,3299,13,Taipa & Cotai
2023,12,13:00,台山區,Tamagnini Barbosa,3278,13,Macau Peninsula
