stop_code,zone,weekdays,weekends,holidays,code,nameCht,n_routes,lat,lng
C664_1,Coloane,169.01304251304254,168.1348223725273,168.84724924198608,C664_1,竹灣泳池-1,3,22.114778,113.557804
C665_1,Coloane,167.35719835719837,167.35719835719837,167.1914050861419,C665_1,竹灣馬路-2,3,22.11423,113.560381
C666_1,Coloane,169.01304251304254,168.1348223725273,168.84724924198608,C666_1,竹灣馬路-1,3,22.114545,113.561038
C667_1,Coloane,169.01304251304254,168.1348223725273,168.84724924198608,C667_1,竹灣海灘-1,3,22.112945,113.563538
C668_1,Coloane,167.35719835719837,167.35719835719837,167.1914050861419,C668_1,竹灣海灘-2,3,22.112851,113.563471
C669_1,Coloane,169.01304251304254,168.1348223725273,168.84724924198608,C669_1,黑沙海灘,3,22.118268,113.569365
C669_2,Coloane,167.35719835719837,167.35719835719837,167.1914050861419,C669_2,黑沙海灘,3,22.118717,113.569355
C670_1,Coloane,65.57942057942057,65.57942057942057,73.68491157964843,C670_1,鷺環海天酒店-2,2,22.126586,113.575706
C671_1,Coloane,67.23526473526474,66.35704459474951,75.34075573549258,C671_1,鷺環海天酒店-1,2,22.127008,113.576108
C672_1,Coloane,25.384615384615387,25.384615384615387,25.384615384615387,C672_1,九澳村,1,22.132049,113.581511
C673_1,Coloane,107.43006993006992,106.5518497895547,123.64105193052562,C673_1,九澳聖若瑟學校,2,22.133522,113.582444
C674_1,Coloane,82.04545454545453,81.16723440493931,98.25643654591023,C674_1,九澳油庫,1,22.133494,113.589363
C675_1,Coloane,167.35719835719837,167.35719835719837,167.1914050861419,C675_1,竹灣豪園-2,3,22.113174,113.566673
C676_1,Coloane,169.01304251304254,168.1348223725273,168.84724924198608,C676_1,竹灣豪園-1,3,22.113318,113.566251
C677_1,Coloane,169.01304251304254,168.1348223725273,168.84724924198608,C677_1,竹灣燒烤公園-1,3,22.114453,113.562483
C678_1,Coloane,167.35719835719837,167.35719835719837,167.1914050861419,C678_1,竹灣燒烤公園-2,3,22.113661,113.562677
C679_1,Coloane,65.57942057942057,65.57942057942057,73.68491157964843,C679_1,黑沙水庫-2,2,22.123818,113.571605
C680_1,Coloane,169.01304251304254,168.1348223725273,168.84724924198608,C680_1,海蘭花園/蘭苑,3,22.11635,113.569539
C681_1,Coloane,67.23526473526474,66.35704459474951,75.34075573549258,C681_1,黑沙水庫-1,2,22.123845,113.570765
C682_1,Coloane,189.54920634920634,184.53910533910533,155.71428571428572,C682_1,和諧圓形地,2,22.131812,113.558119
C683_1,Taipa & Cotai,189.54920634920634,184.53910533910533,155.71428571428572,C683_1,重型車輛駕考中心,2,22.131694,113.558077
C685_1,Coloane,40.19480519480519,40.19480519480519,48.30029619503304,C685_1,聖路濟亞中心,1,22.130773,113.587677
C686_1,Coloane,246.11173767752715,226.40322396901345,211.65037162029074,C686_1,路環市區,4,22.118113,113.551702
C687_1,Coloane,167.35719835719837,167.35719835719837,167.1914050861419,C687_1,海蘭花園/黑沙,3,22.117016,113.568472
C688_1,Coloane,596.9620817778713,541.9290997325941,510.8352831999391,C688_1,和諧廣場/業興大廈,9,22.12984,113.563059
C688_2,Coloane,456.6737145895041,456.6737145895041,372.2711893369788,C688_2,和諧廣場/業興大廈,6,22.129626,113.563061
C689_1,Coloane,413.4689360347255,393.7604223262118,378.84177670643265,C689_1,和諧廣場/樂群樓,7,22.12963,113.562788
C689_2,Coloane,697.1721272879167,630.4647679805574,502.60885167464113,C689_2,和諧廣場/樂群樓,10,22.129839,113.562786
C690_1,Coloane,192.22222222222223,192.22222222222223,151.2153110047847,C690_1,蝴蝶谷大馬路總站,1,22.128765,113.56223
C690_2,Coloane,226.17142857142858,161.37142857142857,91.0,C690_2,蝴蝶谷大馬路總站,3,22.128765,113.562363
C690_3,Coloane,296.4,296.4,233.21428571428572,C690_3,蝴蝶谷大馬路總站,1,22.128765,113.562497
C690_4,Coloane,146.97142857142856,146.97142857142856,123.42857142857142,C690_4,蝴蝶谷大馬路總站,1,22.128684,113.562231
C690_5,Coloane,232.12698412698413,222.1067821067821,188.0,C690_5,蝴蝶谷大馬路總站,1,22.128684,113.562363
C690_6,Coloane,153.18234981392877,153.18234981392877,129.68421052631578,C690_6,蝴蝶谷大馬路總站,2,22.128685,113.562498
C691_1,Coloane,480.8985897143792,430.87570867920306,416.8352831999391,C691_1,樂居大馬路/居雅大廈,8,22.129378,113.560984
C692_1,Coloane,479.1038566696462,430.09808466387415,415.179439044095,C692_1,樂居大馬路/樂群樓,8,22.129422,113.561105
C693_1,Coloane,67.23526473526474,66.35704459474951,75.34075573549258,C693_1,黑沙村-1,2,22.118029,113.566291
C694_1,Coloane,65.57942057942057,65.57942057942057,73.68491157964843,C694_1,黑沙村-2,2,22.117555,113.566586
C695_1,Coloane,67.23526473526474,66.35704459474951,75.34075573549258,C695_1,九澳水庫郊野公園-1,2,22.133902,113.578425
C696_1,Coloane,40.19480519480519,40.19480519480519,48.30029619503304,C696_1,九澳水庫郊野公園-2,1,22.13388,113.578489
C700_1,Taipa & Cotai,159.22597402597404,126.34285714285714,103.2,C700_1,澳門鏡湖護理學院,2,22.136499,113.568476
