"id","name","fileName","size","datasetUrl","downloadUrl"
"873355cc-8f9d-460f-9a4d-191ef6e33c09","澳門輕軌之無障礙旅遊設施列表☯澳门轻轨之无障碍旅游设施列表☯Guia de Turismo Livre de Barreiras - Metro Ligeiro☯Barrier-Free Access Guide - Light Rapid Transit","dst_barrierfree_lrt.xml","2342","https://data.gov.mo/Detail?id=873355cc-8f9d-460f-9a4d-191ef6e33c09","https://api.data.gov.mo/document/download/873355cc-8f9d-460f-9a4d-191ef6e33c09?fileId=1983&isNeedFile=1&lang=TC"
"8897215d-91f7-4fd6-bf02-f36ff5c639ae","新能源/環保巴士數量☯新能源/环保巴士数量☯N.º de autocarros movidos a energias amigas do ambiente☯N.º de autocarros movidos a energias amigas do ambiente","Number_of_new_energy_buses.xlsx","13347","https://data.gov.mo/Detail?id=8897215d-91f7-4fd6-bf02-f36ff5c639ae","https://api.data.gov.mo/document/download/8897215d-91f7-4fd6-bf02-f36ff5c639ae?fileId=1596&isNeedFile=1&lang=TC"
"8b94626c-7170-40eb-9e8c-750ee82a51ba","旅遊行業監管之統計☯旅游行业监管之统计☯Estatísticas de fiscalização da indústria☯Statistics of tourism industry supervision","dst_license_stat.xlsx","13717","https://data.gov.mo/Detail?id=8b94626c-7170-40eb-9e8c-750ee82a51ba","https://api.data.gov.mo/document/download/8b94626c-7170-40eb-9e8c-750ee82a51ba?fileId=1529&isNeedFile=1&lang=TC"
"9179ac62-ddbc-413d-a74a-bbea8d4b0bdd","打擊非法入境(被移交法院人士)☯打击非法入境(被移交法院人士)☯Combate às actividades de imigração ilegal (Indivíduos Enviados a Tribunal)☯Combating illegal immigration activities (Individuals Sent to Court)","打擊非法入境(被移交法院人士).xlsx","7330","https://data.gov.mo/Detail?id=9179ac62-ddbc-413d-a74a-bbea8d4b0bdd","https://api.data.gov.mo/document/download/9179ac62-ddbc-413d-a74a-bbea8d4b0bdd?fileId=1096&isNeedFile=1&lang=TC"
"92de06db-9779-4f44-9c34-1859561d048f","「星級旅遊服務認可計劃」獲獎餐廳食肆☯「星级旅游服务认可计划」获奖餐厅食肆☯“Programa de Avaliação de Serviços Turísticos de Qualidade”Restaurantes Premiados☯“Quality Tourism Services Accreditation Scheme”Awarded Restaurants","dst_qtsasrestaurant.xml","17096","https://data.gov.mo/Detail?id=92de06db-9779-4f44-9c34-1859561d048f","https://api.data.gov.mo/document/download/92de06db-9779-4f44-9c34-1859561d048f?fileId=984&isNeedFile=1&lang=TC"
"99687ec0-739f-4c3d-9f84-13f2e31344a1","澳門主要會展場地之無障礙旅遊設施列表☯澳门主要会展场地之无障碍旅游设施列表☯Guia de Turismo Livre de Barreiras - Local da convenção e exposição☯Barrier-Free Access Guide - Major Convention & Exhibition Venues","dst_barrierfree_expos.xml","3019","https://data.gov.mo/Detail?id=99687ec0-739f-4c3d-9f84-13f2e31344a1","https://api.data.gov.mo/document/download/99687ec0-739f-4c3d-9f84-13f2e31344a1?fileId=1984&isNeedFile=1&lang=TC"
"9aa3bd94-58b0-439a-8680-8891b3b14166","澳門區域旅遊數據 - 按來源地及統計分區的的旅客到訪人次 ☯澳门区域旅游数据 - 按来源地及统计分区的的旅客到访人次☯Dados Turísticos Regionais de Macau - Chegada de visitantes por local de origem e zonas estatísticas☯Macao District Tourism Data - Visitor Arrival by Place of Origin and Statistical District","dst_visitor_02_stats.xlsx","41854","https://data.gov.mo/Detail?id=9aa3bd94-58b0-439a-8680-8891b3b14166","https://api.data.gov.mo/document/download/9aa3bd94-58b0-439a-8680-8891b3b14166?fileId=1715&isNeedFile=1&lang=TC"
"9e45b415-c24d-4dc9-9079-02ef79518c3d","低地台巴士數量 ☯低地台巴士数量 ☯Número de autocarros com piso rebaixado ☯Number of low-floor buses","Number_of_low_floor_buses.xlsx","11328","https://data.gov.mo/Detail?id=9e45b415-c24d-4dc9-9079-02ef79518c3d","https://api.data.gov.mo/document/download/9e45b415-c24d-4dc9-9079-02ef79518c3d?fileId=999&isNeedFile=1&lang=TC"
"a8667609-d4f9-4f40-a8f8-144b61ca580c","屬在建至竣工階段的酒店資料☯属在建至竣工阶段的酒店资料☯Informações sobre os empreendimentos hoteleiros que se encontram em fase de construção ou de conclusão☯Information about the hotel from the stage of construction to completion","屬在建至竣工階段的酒店資料.xlsx","31","https://data.gov.mo/Detail?id=a8667609-d4f9-4f40-a8f8-144b61ca580c","https://api.data.gov.mo/document/download/a8667609-d4f9-4f40-a8f8-144b61ca580c?fileId=1109&isNeedFile=1&lang=TC"
"a9b52a2a-f878-40cb-8d47-7afd4f16bb5b","旅行社資料☯旅行社资料☯Informacoes dos Agencia de Viagens ☯Information of Travel agency","dst_travelagency.xml","31","https://data.gov.mo/Detail?id=a9b52a2a-f878-40cb-8d47-7afd4f16bb5b","https://api.data.gov.mo/document/download/a9b52a2a-f878-40cb-8d47-7afd4f16bb5b?fileId=826&isNeedFile=1&lang=TC"
"ae018aeb-8058-44e7-acd2-e8986638d717","交通意外死亡事故(人數)☯交通意外死亡事故(人數)☯Número de mortes em acidentes de viação (pessoas)☯Traffic accident fatalities (no. of persons)","交通意外死亡事故(人數).xlsx","8664","https://data.gov.mo/Detail?id=ae018aeb-8058-44e7-acd2-e8986638d717","https://api.data.gov.mo/document/download/ae018aeb-8058-44e7-acd2-e8986638d717?fileId=1448&isNeedFile=1&lang=TC"
"b867cde2-8c33-4a07-842b-4cba9d983b7a","陸路口岸跨境汽車流量(架次)☯陆路口岸跨境汽车流量(架次)☯Movimento de automóveis transfronteiriços passados pelos postos fronteiriços terrestres (números)☯Cross-border vehicle flow at land ports (times)","陸路口岸跨境汽車流量(架次).xlsx","8999","https://data.gov.mo/Detail?id=b867cde2-8c33-4a07-842b-4cba9d983b7a","https://api.data.gov.mo/document/download/b867cde2-8c33-4a07-842b-4cba9d983b7a?fileId=1090&isNeedFile=1&lang=TC"
